date,council_area_2019,main_client_group,sector,number_of_places,council_area,financial_year
2014-03-31,S12000018,All Adults,All Sectors,870,Inverclyde,2013/14
2014-03-31,S12000018,All Adults,Local Authority/Health Board Sectors,3,Inverclyde,2013/14
2014-03-31,S12000018,All Adults,Private Sector,552,Inverclyde,2013/14
2014-03-31,S12000018,All Adults,Voluntary or Not for Profit Sector,315,Inverclyde,2013/14
2014-03-31,S12000019,All Adults,All Sectors,612,Midlothian,2013/14
2014-03-31,S12000019,All Adults,Local Authority/Health Board Sectors,102,Midlothian,2013/14
2014-03-31,S12000019,All Adults,Private Sector,414,Midlothian,2013/14
2014-03-31,S12000019,All Adults,Voluntary or Not for Profit Sector,96,Midlothian,2013/14
2014-03-31,S12000020,All Adults,All Sectors,632,Moray,2013/14
2014-03-31,S12000020,All Adults,Local Authority/Health Board Sectors,13,Moray,2013/14
2014-03-31,S12000020,All Adults,Private Sector,536,Moray,2013/14
2014-03-31,S12000020,All Adults,Voluntary or Not for Profit Sector,83,Moray,2013/14
2014-03-31,S12000021,All Adults,All Sectors,1309,North Ayrshire,2013/14
2014-03-31,S12000021,All Adults,Local Authority/Health Board Sectors,40,North Ayrshire,2013/14
2014-03-31,S12000021,All Adults,Private Sector,1139,North Ayrshire,2013/14
2014-03-31,S12000021,All Adults,Voluntary or Not for Profit Sector,130,North Ayrshire,2013/14
2014-03-31,S12000023,All Adults,All Sectors,119,Orkney Islands,2013/14
2014-03-31,S12000023,All Adults,Local Authority/Health Board Sectors,115,Orkney Islands,2013/14
2014-03-31,S12000023,All Adults,Private Sector,0,Orkney Islands,2013/14
2014-03-31,S12000023,All Adults,Voluntary or Not for Profit Sector,4,Orkney Islands,2013/14
2014-03-31,S12000026,All Adults,All Sectors,823,Scottish Borders,2013/14
2014-03-31,S12000026,All Adults,Local Authority/Health Board Sectors,159,Scottish Borders,2013/14
2014-03-31,S12000026,All Adults,Private Sector,543,Scottish Borders,2013/14
2014-03-31,S12000026,All Adults,Voluntary or Not for Profit Sector,121,Scottish Borders,2013/14
2014-03-31,S12000027,All Adults,All Sectors,179,Shetland Islands,2013/14
2014-03-31,S12000027,All Adults,Local Authority/Health Board Sectors,163,Shetland Islands,2013/14
2014-03-31,S12000027,All Adults,Private Sector,0,Shetland Islands,2013/14
2014-03-31,S12000027,All Adults,Voluntary or Not for Profit Sector,16,Shetland Islands,2013/14
2014-03-31,S12000028,All Adults,All Sectors,1137,South Ayrshire,2013/14
2014-03-31,S12000028,All Adults,Local Authority/Health Board Sectors,58,South Ayrshire,2013/14
2014-03-31,S12000028,All Adults,Private Sector,923,South Ayrshire,2013/14
2014-03-31,S12000028,All Adults,Voluntary or Not for Profit Sector,156,South Ayrshire,2013/14
2014-03-31,S12000029,All Adults,All Sectors,2826,South Lanarkshire,2013/14
2014-03-31,S12000029,All Adults,Local Authority/Health Board Sectors,277,South Lanarkshire,2013/14
2014-03-31,S12000029,All Adults,Private Sector,2146,South Lanarkshire,2013/14
2014-03-31,S12000029,All Adults,Voluntary or Not for Profit Sector,403,South Lanarkshire,2013/14
2014-03-31,S12000030,All Adults,All Sectors,735,Stirling,2013/14
2014-03-31,S12000030,All Adults,Local Authority/Health Board Sectors,77,Stirling,2013/14
2014-03-31,S12000030,All Adults,Private Sector,530,Stirling,2013/14
2014-03-31,S12000030,All Adults,Voluntary or Not for Profit Sector,128,Stirling,2013/14
2014-03-31,S12000033,All Adults,All Sectors,1856,Aberdeen City,2013/14
2014-03-31,S12000033,All Adults,Local Authority/Health Board Sectors,0,Aberdeen City,2013/14
2014-03-31,S12000033,All Adults,Private Sector,1333,Aberdeen City,2013/14
2014-03-31,S12000033,All Adults,Voluntary or Not for Profit Sector,523,Aberdeen City,2013/14
2014-03-31,S12000034,All Adults,All Sectors,2119,Aberdeenshire,2013/14
2014-03-31,S12000034,All Adults,Local Authority/Health Board Sectors,332,Aberdeenshire,2013/14
2014-03-31,S12000034,All Adults,Private Sector,1552,Aberdeenshire,2013/14
2014-03-31,S12000034,All Adults,Voluntary or Not for Profit Sector,235,Aberdeenshire,2013/14
2014-03-31,S12000035,All Adults,All Sectors,651,Argyll and Bute,2013/14
2014-03-31,S12000035,All Adults,Local Authority/Health Board Sectors,91,Argyll and Bute,2013/14
2014-03-31,S12000035,All Adults,Private Sector,479,Argyll and Bute,2013/14
2014-03-31,S12000035,All Adults,Voluntary or Not for Profit Sector,81,Argyll and Bute,2013/14
2014-03-31,S12000036,All Adults,All Sectors,3251,City of Edinburgh,2013/14
2014-03-31,S12000036,All Adults,Local Authority/Health Board Sectors,511,City of Edinburgh,2013/14
2014-03-31,S12000036,All Adults,Private Sector,2081,City of Edinburgh,2013/14
2014-03-31,S12000036,All Adults,Voluntary or Not for Profit Sector,659,City of Edinburgh,2013/14
2014-03-31,S12000038,All Adults,All Sectors,1499,Renfrewshire,2013/14
2014-03-31,S12000038,All Adults,Local Authority/Health Board Sectors,190,Renfrewshire,2013/14
2014-03-31,S12000038,All Adults,Private Sector,996,Renfrewshire,2013/14
2014-03-31,S12000038,All Adults,Voluntary or Not for Profit Sector,313,Renfrewshire,2013/14
2014-03-31,S12000039,All Adults,All Sectors,573,West Dunbartonshire,2013/14
2014-03-31,S12000039,All Adults,Local Authority/Health Board Sectors,199,West Dunbartonshire,2013/14
2014-03-31,S12000039,All Adults,Private Sector,368,West Dunbartonshire,2013/14
2014-03-31,S12000039,All Adults,Voluntary or Not for Profit Sector,6,West Dunbartonshire,2013/14
2014-03-31,S12000040,All Adults,All Sectors,985,West Lothian,2013/14
2014-03-31,S12000040,All Adults,Local Authority/Health Board Sectors,154,West Lothian,2013/14
2014-03-31,S12000040,All Adults,Private Sector,730,West Lothian,2013/14
2014-03-31,S12000040,All Adults,Voluntary or Not for Profit Sector,101,West Lothian,2013/14
2014-03-31,S12000041,All Adults,All Sectors,1144,Angus,2013/14
2014-03-31,S12000041,All Adults,Local Authority/Health Board Sectors,99,Angus,2013/14
2014-03-31,S12000041,All Adults,Private Sector,979,Angus,2013/14
2014-03-31,S12000041,All Adults,Voluntary or Not for Profit Sector,66,Angus,2013/14
2014-03-31,S12000042,All Adults,All Sectors,1243,Dundee City,2013/14
2014-03-31,S12000042,All Adults,Local Authority/Health Board Sectors,155,Dundee City,2013/14
2014-03-31,S12000042,All Adults,Private Sector,999,Dundee City,2013/14
2014-03-31,S12000042,All Adults,Voluntary or Not for Profit Sector,89,Dundee City,2013/14
2014-03-31,S12000045,All Adults,All Sectors,833,East Dunbartonshire,2013/14
2014-03-31,S12000045,All Adults,Local Authority/Health Board Sectors,11,East Dunbartonshire,2013/14
2014-03-31,S12000045,All Adults,Private Sector,810,East Dunbartonshire,2013/14
2014-03-31,S12000045,All Adults,Voluntary or Not for Profit Sector,12,East Dunbartonshire,2013/14
2014-03-31,S12000047,All Adults,All Sectors,3069,Fife,2013/14
2014-03-31,S12000047,All Adults,Local Authority/Health Board Sectors,368,Fife,2013/14
2014-03-31,S12000047,All Adults,Private Sector,2586,Fife,2013/14
2014-03-31,S12000047,All Adults,Voluntary or Not for Profit Sector,115,Fife,2013/14
2014-03-31,S12000048,All Adults,All Sectors,1748,Perth and Kinross,2013/14
2014-03-31,S12000048,All Adults,Local Authority/Health Board Sectors,120,Perth and Kinross,2013/14
2014-03-31,S12000048,All Adults,Private Sector,1368,Perth and Kinross,2013/14
2014-03-31,S12000048,All Adults,Voluntary or Not for Profit Sector,260,Perth and Kinross,2013/14
2014-03-31,S12000049,All Adults,All Sectors,4962,Glasgow City,2013/14
2014-03-31,S12000049,All Adults,Local Authority/Health Board Sectors,617,Glasgow City,2013/14
2014-03-31,S12000049,All Adults,Private Sector,3435,Glasgow City,2013/14
2014-03-31,S12000049,All Adults,Voluntary or Not for Profit Sector,910,Glasgow City,2013/14
2014-03-31,S12000050,All Adults,All Sectors,1921,North Lanarkshire,2013/14
2014-03-31,S12000050,All Adults,Local Authority/Health Board Sectors,122,North Lanarkshire,2013/14
2014-03-31,S12000050,All Adults,Private Sector,1753,North Lanarkshire,2013/14
2014-03-31,S12000050,All Adults,Voluntary or Not for Profit Sector,46,North Lanarkshire,2013/14
2014-03-31,S92000003,All Adults,All Sectors,42502,Scotland,2013/14
2014-03-31,S92000003,All Adults,Local Authority/Health Board Sectors,4763,Scotland,2013/14
2014-03-31,S92000003,All Adults,Private Sector,31856,Scotland,2013/14
2014-03-31,S92000003,All Adults,Voluntary or Not for Profit Sector,5883,Scotland,2013/14
2014-03-31,S12000005,Learning Disabilities,All Sectors,122,Clackmannanshire,2013/14
2014-03-31,S12000006,Learning Disabilities,All Sectors,45,Dumfries and Galloway,2013/14
2014-03-31,S12000008,Learning Disabilities,All Sectors,58,East Ayrshire,2013/14
2014-03-31,S12000010,Learning Disabilities,All Sectors,7,East Lothian,2013/14
2014-03-31,S12000011,Learning Disabilities,All Sectors,10,East Renfrewshire,2013/14
2014-03-31,S12000013,Learning Disabilities,All Sectors,11,Na h-Eileanan Siar,2013/14
2014-03-31,S12000014,Learning Disabilities,All Sectors,113,Falkirk,2013/14
2014-03-31,S12000017,Learning Disabilities,All Sectors,127,Highland,2013/14
2014-03-31,S12000018,Learning Disabilities,All Sectors,47,Inverclyde,2013/14
2014-03-31,S12000019,Learning Disabilities,All Sectors,56,Midlothian,2013/14
2014-03-31,S12000020,Learning Disabilities,All Sectors,31,Moray,2013/14
2014-03-31,S12000021,Learning Disabilities,All Sectors,90,North Ayrshire,2013/14
2014-03-31,S12000023,Learning Disabilities,All Sectors,6,Orkney Islands,2013/14
2014-03-31,S12000026,Learning Disabilities,All Sectors,73,Scottish Borders,2013/14
2014-03-31,S12000027,Learning Disabilities,All Sectors,9,Shetland Islands,2013/14
2014-03-31,S12000028,Learning Disabilities,All Sectors,89,South Ayrshire,2013/14
2014-03-31,S12000029,Learning Disabilities,All Sectors,128,South Lanarkshire,2013/14
2014-03-31,S12000030,Learning Disabilities,All Sectors,73,Stirling,2013/14
2014-03-31,S12000033,Learning Disabilities,All Sectors,157,Aberdeen City,2013/14
2014-03-31,S12000034,Learning Disabilities,All Sectors,162,Aberdeenshire,2013/14
2014-03-31,S12000035,Learning Disabilities,All Sectors,14,Argyll and Bute,2013/14
2014-03-31,S12000036,Learning Disabilities,All Sectors,113,City of Edinburgh,2013/14
2014-03-31,S12000038,Learning Disabilities,All Sectors,27,Renfrewshire,2013/14
2014-03-31,S12000039,Learning Disabilities,All Sectors,6,West Dunbartonshire,2013/14
2014-03-31,S12000040,Learning Disabilities,All Sectors,73,West Lothian,2013/14
2014-03-31,S12000041,Learning Disabilities,All Sectors,41,Angus,2013/14
2014-03-31,S12000042,Learning Disabilities,All Sectors,50,Dundee City,2013/14
2014-03-31,S12000045,Learning Disabilities,All Sectors,21,East Dunbartonshire,2013/14
2014-03-31,S12000047,Learning Disabilities,All Sectors,64,Fife,2013/14
2014-03-31,S12000048,Learning Disabilities,All Sectors,115,Perth and Kinross,2013/14
2014-03-31,S12000049,Learning Disabilities,All Sectors,67,Glasgow City,2013/14
2014-03-31,S12000050,Learning Disabilities,All Sectors,23,North Lanarkshire,2013/14
2014-03-31,S92000003,Learning Disabilities,All Sectors,2028,Scotland,2013/14
2014-03-31,S92000003,Learning Disabilities,Local Authority/Health Board Sectors,202,Scotland,2013/14
2014-03-31,S92000003,Learning Disabilities,Private Sector,795,Scotland,2013/14
2014-03-31,S92000003,Learning Disabilities,Voluntary or Not for Profit Sector,1031,Scotland,2013/14
2014-03-31,S12000005,Mental Health Problems,All Sectors,25,Clackmannanshire,2013/14
2014-03-31,S12000006,Mental Health Problems,All Sectors,76,Dumfries and Galloway,2013/14
2014-03-31,S12000008,Mental Health Problems,All Sectors,25,East Ayrshire,2013/14
2014-03-31,S12000010,Mental Health Problems,All Sectors,0,East Lothian,2013/14
2014-03-31,S12000011,Mental Health Problems,All Sectors,0,East Renfrewshire,2013/14
2014-03-31,S12000013,Mental Health Problems,All Sectors,0,Na h-Eileanan Siar,2013/14
2014-03-31,S12000014,Mental Health Problems,All Sectors,27,Falkirk,2013/14
2014-03-31,S12000017,Mental Health Problems,All Sectors,96,Highland,2013/14
2014-03-31,S12000018,Mental Health Problems,All Sectors,9,Inverclyde,2013/14
2014-03-31,S12000019,Mental Health Problems,All Sectors,0,Midlothian,2013/14
2014-03-31,S12000020,Mental Health Problems,All Sectors,5,Moray,2013/14
2014-03-31,S12000021,Mental Health Problems,All Sectors,8,North Ayrshire,2013/14
2014-03-31,S12000023,Mental Health Problems,All Sectors,0,Orkney Islands,2013/14
2014-03-31,S12000026,Mental Health Problems,All Sectors,0,Scottish Borders,2013/14
2014-03-31,S12000027,Mental Health Problems,All Sectors,0,Shetland Islands,2013/14
2014-03-31,S12000028,Mental Health Problems,All Sectors,0,South Ayrshire,2013/14
2014-03-31,S12000029,Mental Health Problems,All Sectors,46,South Lanarkshire,2013/14
2014-03-31,S12000030,Mental Health Problems,All Sectors,91,Stirling,2013/14
2014-03-31,S12000033,Mental Health Problems,All Sectors,82,Aberdeen City,2013/14
2014-03-31,S12000034,Mental Health Problems,All Sectors,44,Aberdeenshire,2013/14
2014-03-31,S12000035,Mental Health Problems,All Sectors,0,Argyll and Bute,2013/14
2014-03-31,S12000036,Mental Health Problems,All Sectors,15,City of Edinburgh,2013/14
2014-03-31,S12000038,Mental Health Problems,All Sectors,0,Renfrewshire,2013/14
2014-03-31,S12000039,Mental Health Problems,All Sectors,0,West Dunbartonshire,2013/14
2014-03-31,S12000040,Mental Health Problems,All Sectors,0,West Lothian,2013/14
2014-03-31,S12000041,Mental Health Problems,All Sectors,0,Angus,2013/14
2014-03-31,S12000042,Mental Health Problems,All Sectors,49,Dundee City,2013/14
2014-03-31,S12000045,Mental Health Problems,All Sectors,68,East Dunbartonshire,2013/14
2014-03-31,S12000047,Mental Health Problems,All Sectors,32,Fife,2013/14
2014-03-31,S12000048,Mental Health Problems,All Sectors,0,Perth and Kinross,2013/14
2014-03-31,S12000049,Mental Health Problems,All Sectors,262,Glasgow City,2013/14
2014-03-31,S12000050,Mental Health Problems,All Sectors,80,North Lanarkshire,2013/14
2014-03-31,S92000003,Mental Health Problems,All Sectors,1040,Scotland,2013/14
2014-03-31,S92000003,Mental Health Problems,Local Authority/Health Board Sectors,0,Scotland,2013/14
2014-03-31,S92000003,Mental Health Problems,Private Sector,618,Scotland,2013/14
2014-03-31,S92000003,Mental Health Problems,Voluntary or Not for Profit Sector,422,Scotland,2013/14
2014-03-31,S12000005,Older People Aged 65 and Older,All Sectors,218,Clackmannanshire,2013/14
2014-03-31,S12000005,Older People Aged 65 and Older,Local Authority/Health Board Sectors,52,Clackmannanshire,2013/14
2014-03-31,S12000005,Older People Aged 65 and Older,Private Sector,166,Clackmannanshire,2013/14
2014-03-31,S12000005,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,0,Clackmannanshire,2013/14
2014-03-31,S12000006,Older People Aged 65 and Older,All Sectors,1136,Dumfries and Galloway,2013/14
2014-03-31,S12000006,Older People Aged 65 and Older,Local Authority/Health Board Sectors,0,Dumfries and Galloway,2013/14
2014-03-31,S12000006,Older People Aged 65 and Older,Private Sector,895,Dumfries and Galloway,2013/14
2014-03-31,S12000006,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,241,Dumfries and Galloway,2013/14
2014-03-31,S12000008,Older People Aged 65 and Older,All Sectors,931,East Ayrshire,2013/14
2014-03-31,S12000008,Older People Aged 65 and Older,Local Authority/Health Board Sectors,2,East Ayrshire,2013/14
2014-03-31,S12000008,Older People Aged 65 and Older,Private Sector,929,East Ayrshire,2013/14
2014-03-31,S12000008,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,0,East Ayrshire,2013/14
2014-03-31,S12000010,Older People Aged 65 and Older,All Sectors,660,East Lothian,2013/14
2014-03-31,S12000010,Older People Aged 65 and Older,Local Authority/Health Board Sectors,148,East Lothian,2013/14
2014-03-31,S12000010,Older People Aged 65 and Older,Private Sector,475,East Lothian,2013/14
2014-03-31,S12000010,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,37,East Lothian,2013/14
2014-03-31,S12000011,Older People Aged 65 and Older,All Sectors,608,East Renfrewshire,2013/14
2014-03-31,S12000011,Older People Aged 65 and Older,Local Authority/Health Board Sectors,34,East Renfrewshire,2013/14
2014-03-31,S12000011,Older People Aged 65 and Older,Private Sector,377,East Renfrewshire,2013/14
2014-03-31,S12000011,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,197,East Renfrewshire,2013/14
2014-03-31,S12000013,Older People Aged 65 and Older,All Sectors,206,Na h-Eileanan Siar,2013/14
2014-03-31,S12000013,Older People Aged 65 and Older,Local Authority/Health Board Sectors,127,Na h-Eileanan Siar,2013/14
2014-03-31,S12000013,Older People Aged 65 and Older,Private Sector,40,Na h-Eileanan Siar,2013/14
2014-03-31,S12000013,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,39,Na h-Eileanan Siar,2013/14
2014-03-31,S12000014,Older People Aged 65 and Older,All Sectors,981,Falkirk,2013/14
2014-03-31,S12000014,Older People Aged 65 and Older,Local Authority/Health Board Sectors,168,Falkirk,2013/14
2014-03-31,S12000014,Older People Aged 65 and Older,Private Sector,753,Falkirk,2013/14
2014-03-31,S12000014,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,60,Falkirk,2013/14
2014-03-31,S12000017,Older People Aged 65 and Older,All Sectors,1812,Highland,2013/14
2014-03-31,S12000017,Older People Aged 65 and Older,Local Authority/Health Board Sectors,205,Highland,2013/14
2014-03-31,S12000017,Older People Aged 65 and Older,Private Sector,1394,Highland,2013/14
2014-03-31,S12000017,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,213,Highland,2013/14
