financial_year,council_area,sector,main_client_group,number_of_places
2012/13,East Renfrewshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,197
2012/13,Falkirk,All Sectors,All Adults,1130
2012/13,Falkirk,All Sectors,Learning Disabilities,113
2012/13,Falkirk,All Sectors,Mental Health Problems,45
2012/13,Falkirk,All Sectors,Older People Aged 65 and Older,972
2012/13,Falkirk,All Sectors,Other Groups,0
2012/13,Falkirk,All Sectors,Physical and Sensory Impairment,0
2012/13,Falkirk,Local Authority/Health Board Sectors,All Adults,184
2012/13,Falkirk,Local Authority/Health Board Sectors,Older People Aged 65 and Older,150
2012/13,Falkirk,Private Sector,All Adults,857
2012/13,Falkirk,Private Sector,Older People Aged 65 and Older,762
2012/13,Falkirk,Voluntary or Not for Profit Sector,All Adults,89
2012/13,Falkirk,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,60
2012/13,Fife,All Sectors,All Adults,3027
2012/13,Fife,All Sectors,Learning Disabilities,64
2012/13,Fife,All Sectors,Mental Health Problems,32
2012/13,Fife,All Sectors,Older People Aged 65 and Older,2860
2012/13,Fife,All Sectors,Other Groups,0
2012/13,Fife,All Sectors,Physical and Sensory Impairment,71
2012/13,Fife,Local Authority/Health Board Sectors,All Adults,368
2012/13,Fife,Local Authority/Health Board Sectors,Older People Aged 65 and Older,354
2012/13,Fife,Private Sector,All Adults,2555
2012/13,Fife,Private Sector,Older People Aged 65 and Older,2424
2012/13,Fife,Voluntary or Not for Profit Sector,All Adults,104
2012/13,Fife,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,82
2012/13,Glasgow City,All Sectors,All Adults,4973
2012/13,Glasgow City,All Sectors,Learning Disabilities,79
2012/13,Glasgow City,All Sectors,Mental Health Problems,270
2012/13,Glasgow City,All Sectors,Older People Aged 65 and Older,4365
2012/13,Glasgow City,All Sectors,Other Groups,187
2012/13,Glasgow City,All Sectors,Physical and Sensory Impairment,72
2012/13,Glasgow City,Local Authority/Health Board Sectors,All Adults,617
2012/13,Glasgow City,Local Authority/Health Board Sectors,Older People Aged 65 and Older,603
2012/13,Glasgow City,Private Sector,All Adults,3395
2012/13,Glasgow City,Private Sector,Older People Aged 65 and Older,3353
2012/13,Glasgow City,Voluntary or Not for Profit Sector,All Adults,961
2012/13,Glasgow City,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,409
2012/13,Highland,All Sectors,All Adults,2107
2012/13,Highland,All Sectors,Learning Disabilities,137
2012/13,Highland,All Sectors,Mental Health Problems,96
2012/13,Highland,All Sectors,Older People Aged 65 and Older,1800
2012/13,Highland,All Sectors,Other Groups,15
2012/13,Highland,All Sectors,Physical and Sensory Impairment,59
2012/13,Highland,Local Authority/Health Board Sectors,All Adults,277
2012/13,Highland,Local Authority/Health Board Sectors,Older People Aged 65 and Older,265
2012/13,Highland,Private Sector,All Adults,1540
2012/13,Highland,Private Sector,Older People Aged 65 and Older,1328
2012/13,Highland,Voluntary or Not for Profit Sector,All Adults,290
2012/13,Highland,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,207
2012/13,Inverclyde,All Sectors,All Adults,898
2012/13,Inverclyde,All Sectors,Learning Disabilities,33
2012/13,Inverclyde,All Sectors,Mental Health Problems,9
2012/13,Inverclyde,All Sectors,Older People Aged 65 and Older,782
2012/13,Inverclyde,All Sectors,Other Groups,0
2012/13,Inverclyde,All Sectors,Physical and Sensory Impairment,74
2012/13,Inverclyde,Local Authority/Health Board Sectors,All Adults,3
2012/13,Inverclyde,Local Authority/Health Board Sectors,Older People Aged 65 and Older,3
2012/13,Inverclyde,Private Sector,All Adults,582
2012/13,Inverclyde,Private Sector,Older People Aged 65 and Older,582
2012/13,Inverclyde,Voluntary or Not for Profit Sector,All Adults,313
2012/13,Inverclyde,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,197
2012/13,Midlothian,All Sectors,All Adults,653
2012/13,Midlothian,All Sectors,Learning Disabilities,56
2012/13,Midlothian,All Sectors,Mental Health Problems,0
2012/13,Midlothian,All Sectors,Older People Aged 65 and Older,597
2012/13,Midlothian,All Sectors,Other Groups,0
2012/13,Midlothian,All Sectors,Physical and Sensory Impairment,0
2012/13,Midlothian,Local Authority/Health Board Sectors,All Adults,145
2012/13,Midlothian,Local Authority/Health Board Sectors,Older People Aged 65 and Older,145
2012/13,Midlothian,Private Sector,All Adults,414
2012/13,Midlothian,Private Sector,Older People Aged 65 and Older,406
2012/13,Midlothian,Voluntary or Not for Profit Sector,All Adults,94
2012/13,Midlothian,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,46
2012/13,Moray,All Sectors,All Adults,632
2012/13,Moray,All Sectors,Learning Disabilities,31
2012/13,Moray,All Sectors,Mental Health Problems,5
2012/13,Moray,All Sectors,Older People Aged 65 and Older,592
2012/13,Moray,All Sectors,Other Groups,0
2012/13,Moray,All Sectors,Physical and Sensory Impairment,4
2012/13,Moray,Local Authority/Health Board Sectors,All Adults,13
2012/13,Moray,Local Authority/Health Board Sectors,Older People Aged 65 and Older,0
2012/13,Moray,Private Sector,All Adults,536
2012/13,Moray,Private Sector,Older People Aged 65 and Older,536
2012/13,Moray,Voluntary or Not for Profit Sector,All Adults,83
2012/13,Moray,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,56
2012/13,Na h-Eileanan Siar,All Sectors,All Adults,217
2012/13,Na h-Eileanan Siar,All Sectors,Learning Disabilities,11
2012/13,Na h-Eileanan Siar,All Sectors,Mental Health Problems,0
2012/13,Na h-Eileanan Siar,All Sectors,Older People Aged 65 and Older,204
2012/13,Na h-Eileanan Siar,All Sectors,Other Groups,2
2012/13,Na h-Eileanan Siar,All Sectors,Physical and Sensory Impairment,0
2012/13,Na h-Eileanan Siar,Local Authority/Health Board Sectors,All Adults,138
2012/13,Na h-Eileanan Siar,Local Authority/Health Board Sectors,Older People Aged 65 and Older,127
2012/13,Na h-Eileanan Siar,Private Sector,All Adults,42
2012/13,Na h-Eileanan Siar,Private Sector,Older People Aged 65 and Older,40
2012/13,Na h-Eileanan Siar,Voluntary or Not for Profit Sector,All Adults,37
2012/13,Na h-Eileanan Siar,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,37
2012/13,North Ayrshire,All Sectors,All Adults,1324
2012/13,North Ayrshire,All Sectors,Learning Disabilities,93
2012/13,North Ayrshire,All Sectors,Mental Health Problems,8
2012/13,North Ayrshire,All Sectors,Older People Aged 65 and Older,1176
2012/13,North Ayrshire,All Sectors,Other Groups,11
2012/13,North Ayrshire,All Sectors,Physical and Sensory Impairment,36
2012/13,North Ayrshire,Local Authority/Health Board Sectors,All Adults,50
2012/13,North Ayrshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,50
2012/13,North Ayrshire,Private Sector,All Adults,1152
2012/13,North Ayrshire,Private Sector,Older People Aged 65 and Older,1058
2012/13,North Ayrshire,Voluntary or Not for Profit Sector,All Adults,122
2012/13,North Ayrshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,68
2012/13,North Lanarkshire,All Sectors,All Adults,1960
2012/13,North Lanarkshire,All Sectors,Learning Disabilities,23
2012/13,North Lanarkshire,All Sectors,Mental Health Problems,80
2012/13,North Lanarkshire,All Sectors,Older People Aged 65 and Older,1812
2012/13,North Lanarkshire,All Sectors,Other Groups,21
2012/13,North Lanarkshire,All Sectors,Physical and Sensory Impairment,24
2012/13,North Lanarkshire,Local Authority/Health Board Sectors,All Adults,122
2012/13,North Lanarkshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,122
2012/13,North Lanarkshire,Private Sector,All Adults,1792
2012/13,North Lanarkshire,Private Sector,Older People Aged 65 and Older,1653
2012/13,North Lanarkshire,Voluntary or Not for Profit Sector,All Adults,46
2012/13,North Lanarkshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,37
2012/13,Orkney Islands,All Sectors,All Adults,119
2012/13,Orkney Islands,All Sectors,Learning Disabilities,6
2012/13,Orkney Islands,All Sectors,Mental Health Problems,0
2012/13,Orkney Islands,All Sectors,Older People Aged 65 and Older,111
2012/13,Orkney Islands,All Sectors,Other Groups,0
2012/13,Orkney Islands,All Sectors,Physical and Sensory Impairment,2
2012/13,Orkney Islands,Local Authority/Health Board Sectors,All Adults,115
2012/13,Orkney Islands,Local Authority/Health Board Sectors,Older People Aged 65 and Older,111
2012/13,Orkney Islands,Private Sector,All Adults,0
2012/13,Orkney Islands,Private Sector,Older People Aged 65 and Older,0
2012/13,Orkney Islands,Voluntary or Not for Profit Sector,All Adults,4
2012/13,Orkney Islands,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2012/13,Perth and Kinross,All Sectors,All Adults,1777
2012/13,Perth and Kinross,All Sectors,Learning Disabilities,118
2012/13,Perth and Kinross,All Sectors,Mental Health Problems,0
2012/13,Perth and Kinross,All Sectors,Older People Aged 65 and Older,1598
2012/13,Perth and Kinross,All Sectors,Other Groups,0
2012/13,Perth and Kinross,All Sectors,Physical and Sensory Impairment,61
2012/13,Perth and Kinross,Local Authority/Health Board Sectors,All Adults,120
2012/13,Perth and Kinross,Local Authority/Health Board Sectors,Older People Aged 65 and Older,120
2012/13,Perth and Kinross,Private Sector,All Adults,1368
2012/13,Perth and Kinross,Private Sector,Older People Aged 65 and Older,1289
2012/13,Perth and Kinross,Voluntary or Not for Profit Sector,All Adults,289
2012/13,Perth and Kinross,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,189
2012/13,Renfrewshire,All Sectors,All Adults,1508
2012/13,Renfrewshire,All Sectors,Learning Disabilities,38
2012/13,Renfrewshire,All Sectors,Mental Health Problems,0
2012/13,Renfrewshire,All Sectors,Older People Aged 65 and Older,1450
2012/13,Renfrewshire,All Sectors,Other Groups,0
2012/13,Renfrewshire,All Sectors,Physical and Sensory Impairment,20
2012/13,Renfrewshire,Local Authority/Health Board Sectors,All Adults,190
2012/13,Renfrewshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,180
2012/13,Renfrewshire,Private Sector,All Adults,1006
2012/13,Renfrewshire,Private Sector,Older People Aged 65 and Older,986
2012/13,Renfrewshire,Voluntary or Not for Profit Sector,All Adults,312
2012/13,Renfrewshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,284
2012/13,Scotland,All Sectors,All Adults,42755
2012/13,Scotland,All Sectors,Learning Disabilities,2125
2012/13,Scotland,All Sectors,Mental Health Problems,1135
2012/13,Scotland,All Sectors,Older People Aged 65 and Older,38508
2012/13,Scotland,All Sectors,Other Groups,318
2012/13,Scotland,All Sectors,Physical and Sensory Impairment,669
2012/13,Scotland,Local Authority/Health Board Sectors,All Adults,5114
2012/13,Scotland,Local Authority/Health Board Sectors,Learning Disabilities,247
2012/13,Scotland,Local Authority/Health Board Sectors,Mental Health Problems,29
2012/13,Scotland,Local Authority/Health Board Sectors,Older People Aged 65 and Older,4802
2012/13,Scotland,Local Authority/Health Board Sectors,Other Groups,0
2012/13,Scotland,Local Authority/Health Board Sectors,Physical and Sensory Impairment,36
2012/13,Scotland,Private Sector,All Adults,31677
2012/13,Scotland,Private Sector,Learning Disabilities,816
2012/13,Scotland,Private Sector,Mental Health Problems,649
2012/13,Scotland,Private Sector,Older People Aged 65 and Older,29993
2012/13,Scotland,Private Sector,Other Groups,44
2012/13,Scotland,Private Sector,Physical and Sensory Impairment,175
2012/13,Scotland,Voluntary or Not for Profit Sector,All Adults,5964
2012/13,Scotland,Voluntary or Not for Profit Sector,Learning Disabilities,1062
2012/13,Scotland,Voluntary or Not for Profit Sector,Mental Health Problems,457
2012/13,Scotland,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,3713
2012/13,Scotland,Voluntary or Not for Profit Sector,Other Groups,274
2012/13,Scotland,Voluntary or Not for Profit Sector,Physical and Sensory Impairment,458
2012/13,Scottish Borders,All Sectors,All Adults,845
2012/13,Scottish Borders,All Sectors,Learning Disabilities,81
2012/13,Scottish Borders,All Sectors,Mental Health Problems,0
2012/13,Scottish Borders,All Sectors,Older People Aged 65 and Older,764
2012/13,Scottish Borders,All Sectors,Other Groups,0
2012/13,Scottish Borders,All Sectors,Physical and Sensory Impairment,0
2012/13,Scottish Borders,Local Authority/Health Board Sectors,All Adults,173
2012/13,Scottish Borders,Local Authority/Health Board Sectors,Older People Aged 65 and Older,173
2012/13,Scottish Borders,Private Sector,All Adults,543
2012/13,Scottish Borders,Private Sector,Older People Aged 65 and Older,543
2012/13,Scottish Borders,Voluntary or Not for Profit Sector,All Adults,129
2012/13,Scottish Borders,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,48
2012/13,Shetland Islands,All Sectors,All Adults,179
2012/13,Shetland Islands,All Sectors,Learning Disabilities,9
2012/13,Shetland Islands,All Sectors,Mental Health Problems,0
2012/13,Shetland Islands,All Sectors,Older People Aged 65 and Older,170
2012/13,Shetland Islands,All Sectors,Other Groups,0
2012/13,Shetland Islands,All Sectors,Physical and Sensory Impairment,0
2012/13,Shetland Islands,Local Authority/Health Board Sectors,All Adults,163
2012/13,Shetland Islands,Local Authority/Health Board Sectors,Older People Aged 65 and Older,154
2012/13,Shetland Islands,Private Sector,All Adults,0
2012/13,Shetland Islands,Private Sector,Older People Aged 65 and Older,0
2012/13,Shetland Islands,Voluntary or Not for Profit Sector,All Adults,16
2012/13,Shetland Islands,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,16
2012/13,South Ayrshire,All Sectors,All Adults,1139
2012/13,South Ayrshire,All Sectors,Learning Disabilities,85
2012/13,South Ayrshire,All Sectors,Mental Health Problems,0
2012/13,South Ayrshire,All Sectors,Older People Aged 65 and Older,1054
2012/13,South Ayrshire,All Sectors,Other Groups,0
2012/13,South Ayrshire,All Sectors,Physical and Sensory Impairment,0
2012/13,South Ayrshire,Local Authority/Health Board Sectors,All Adults,58
2012/13,South Ayrshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,54
2012/13,South Ayrshire,Private Sector,All Adults,929
2012/13,South Ayrshire,Private Sector,Older People Aged 65 and Older,905
2012/13,South Ayrshire,Voluntary or Not for Profit Sector,All Adults,152
2012/13,South Ayrshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,95
2012/13,South Lanarkshire,All Sectors,All Adults,2793
2012/13,South Lanarkshire,All Sectors,Learning Disabilities,130
2012/13,South Lanarkshire,All Sectors,Mental Health Problems,46
2012/13,South Lanarkshire,All Sectors,Older People Aged 65 and Older,2593
2012/13,South Lanarkshire,All Sectors,Other Groups,0
2012/13,South Lanarkshire,All Sectors,Physical and Sensory Impairment,24
2012/13,South Lanarkshire,Local Authority/Health Board Sectors,All Adults,276
2012/13,South Lanarkshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,276
2012/13,South Lanarkshire,Private Sector,All Adults,2153
2012/13,South Lanarkshire,Private Sector,Older People Aged 65 and Older,2050
2012/13,South Lanarkshire,Voluntary or Not for Profit Sector,All Adults,364
2012/13,South Lanarkshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,267
2012/13,Stirling,All Sectors,All Adults,729
2012/13,Stirling,All Sectors,Learning Disabilities,66
2012/13,Stirling,All Sectors,Mental Health Problems,91
2012/13,Stirling,All Sectors,Older People Aged 65 and Older,555
2012/13,Stirling,All Sectors,Other Groups,0
2012/13,Stirling,All Sectors,Physical and Sensory Impairment,17
2012/13,Stirling,Local Authority/Health Board Sectors,All Adults,77
2012/13,Stirling,Local Authority/Health Board Sectors,Older People Aged 65 and Older,77
2012/13,Stirling,Private Sector,All Adults,532
2012/13,Stirling,Private Sector,Older People Aged 65 and Older,431
2012/13,Stirling,Voluntary or Not for Profit Sector,All Adults,120
2012/13,Stirling,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,47
2012/13,West Dunbartonshire,All Sectors,All Adults,598
2012/13,West Dunbartonshire,All Sectors,Learning Disabilities,6
2012/13,West Dunbartonshire,All Sectors,Mental Health Problems,70
2012/13,West Dunbartonshire,All Sectors,Older People Aged 65 and Older,522
